english_row,hindi_row,distance,english_pair_id,hindi_pair_id
1059,515,1.3555049985013508,1059,515
1061,362,1.4113545247512307,1061,362
1063,923,1.490567260315558,1063,923
1066,1091,0.7107208856174602,1066,1091
1067,848,1.449242241249801,1067,848
1068,157,1.3939596755934411,1068,157
1071,512,1.1711931851480168,1071,512
1074,997,1.2515185195058505,1074,997
1086,254,1.3698120031741312,1086,254
1092,678,1.4793351346743397,1092,678
1094,472,0.7440656091304725,1094,472
1096,739,1.377449162212982,1096,739
1097,347,1.1117447360089556,1097,347
1098,909,0.8060190901232375,1098,909
1099,434,1.059398403111729,1099,434
1100,765,1.0099972851787022,1100,765
1101,231,1.1598364945535526,1101,231
1107,1006,0.895528586164741,1107,1006
1109,377,1.2518340400812276,1109,377
1111,1090,1.1112590347310074,1111,1090
1112,1101,0.8564766721791288,1112,1101
1115,1095,0.5810676727199335,1115,1095
1116,847,0.4923439676692841,1116,847
1118,1092,0.4584324641087418,1118,1092
1119,216,1.2709446715000554,1119,216
1120,1039,0.8886413680166247,1120,1039
1123,1124,0.9364386507711479,1123,1124
